"","Year","Mo","Da","T0m","T2m","T4m","datetime","datemonth","Area","sl_av_7d"
"1","2005",1,1,4.96,4.96,4.96,2005-01-01,1900-01-01,"Kristineberg",NA
"2","2005",1,2,5.22,5.22,5.22,2005-01-02,1900-01-02,"Kristineberg",NA
"3","2005",1,3,4.62,4.62,4.62,2005-01-03,1900-01-03,"Kristineberg",NA
"4","2005",1,4,4.82,4.82,4.82,2005-01-04,1900-01-04,"Kristineberg",NA
"5","2005",1,5,4.95,4.95,4.95,2005-01-05,1900-01-05,"Kristineberg",NA
"6","2005",1,6,5.55,5.55,5.55,2005-01-06,1900-01-06,"Kristineberg",NA
"7","2005",1,7,5.77,5.77,5.77,2005-01-07,1900-01-07,"Kristineberg",NA
"8","2005",1,8,5.76,5.76,5.76,2005-01-08,1900-01-08,"Kristineberg",NA
"9","2005",1,9,5.29,5.29,5.29,2005-01-09,1900-01-09,"Kristineberg",NA
"10","2005",1,10,5.49,5.49,5.49,2005-01-10,1900-01-10,"Kristineberg",NA
"11","2005",1,11,5.49,5.49,5.49,2005-01-11,1900-01-11,"Kristineberg",NA
"12","2005",1,12,5.45,5.45,5.45,2005-01-12,1900-01-12,"Kristineberg",NA
"13","2005",1,13,5.35,5.35,5.35,2005-01-13,1900-01-13,"Kristineberg",NA
"14","2005",1,14,5.13,5.13,5.15,2005-01-14,1900-01-14,"Kristineberg",NA
"15","2005",1,15,4.35,4.36,4.39,2005-01-15,1900-01-15,"Kristineberg",NA
"16","2005",1,16,4.72,4.72,4.72,2005-01-16,1900-01-16,"Kristineberg",NA
"17","2005",1,17,4.85,4.85,4.85,2005-01-17,1900-01-17,"Kristineberg",NA
"18","2005",1,18,5.38,5.38,5.38,2005-01-18,1900-01-18,"Kristineberg",NA
"19","2005",1,19,5.09,5.09,5.09,2005-01-19,1900-01-19,"Kristineberg",NA
"20","2005",1,20,4.88,4.88,4.88,2005-01-20,1900-01-20,"Kristineberg",NA
"21","2005",1,21,5.51,5.59,5.91,2005-01-21,1900-01-21,"Kristineberg",NA
"22","2005",1,22,5.68,5.74,5.97,2005-01-22,1900-01-22,"Kristineberg",NA
"23","2005",1,23,6.18,6.19,6.2,2005-01-23,1900-01-23,"Kristineberg",NA
"24","2005",1,24,5.64,5.64,5.65,2005-01-24,1900-01-24,"Kristineberg",NA
"25","2005",1,25,5.85,5.85,5.85,2005-01-25,1900-01-25,"Kristineberg",NA
"26","2005",1,26,3.58,3.59,3.63,2005-01-26,1900-01-26,"Kristineberg",NA
"27","2005",1,27,3.49,3.58,3.95,2005-01-27,1900-01-27,"Kristineberg",NA
"28","2005",1,28,3.03,3.13,3.55,2005-01-28,1900-01-28,"Kristineberg",NA
"29","2005",1,29,2.66,2.7,2.87,2005-01-29,1900-01-29,"Kristineberg",NA
"30","2005",1,30,3.17,3.17,3.17,2005-01-30,1900-01-30,"Kristineberg",NA
"31","2005",1,31,3.4,3.4,3.4,2005-01-31,1900-01-31,"Kristineberg",NA
"32","2005",2,1,3.27,3.41,3.95,2005-02-01,1900-02-01,"Kristineberg",NA
"33","2005",2,2,3.26,3.5,4.46,2005-02-02,1900-02-02,"Kristineberg",NA
"34","2005",2,3,2.92,2.94,3.03,2005-02-03,1900-02-03,"Kristineberg",NA
"35","2005",2,4,3.25,3.25,3.26,2005-02-04,1900-02-04,"Kristineberg",NA
"36","2005",2,5,3.54,3.54,3.54,2005-02-05,1900-02-05,"Kristineberg",NA
"37","2005",2,6,3.22,3.22,3.22,2005-02-06,1900-02-06,"Kristineberg",NA
"38","2005",2,7,2.97,2.97,2.97,2005-02-07,1900-02-07,"Kristineberg",NA
"39","2005",2,8,2.52,2.52,2.52,2005-02-08,1900-02-08,"Kristineberg",NA
"40","2005",2,9,2.52,2.52,2.52,2005-02-09,1900-02-09,"Kristineberg",NA
"41","2005",2,10,3.08,3.08,3.08,2005-02-10,1900-02-10,"Kristineberg",NA
"42","2005",2,11,2.27,2.27,2.28,2005-02-11,1900-02-11,"Kristineberg",NA
"43","2005",2,12,2.33,2.34,2.39,2005-02-12,1900-02-12,"Kristineberg",NA
"44","2005",2,13,4.54,4.54,4.55,2005-02-13,1900-02-13,"Kristineberg",NA
"45","2005",2,14,4.76,4.76,4.77,2005-02-14,1900-02-14,"Kristineberg",NA
"46","2005",2,15,5.1,5.1,5.1,2005-02-15,1900-02-15,"Kristineberg",NA
"47","2005",2,16,2.66,2.75,3.08,2005-02-16,1900-02-16,"Kristineberg",NA
"48","2005",2,17,3.32,3.33,3.34,2005-02-17,1900-02-17,"Kristineberg",NA
"49","2005",2,18,3.36,3.36,3.36,2005-02-18,1900-02-18,"Kristineberg",NA
"50","2005",2,19,3.07,3.07,3.08,2005-02-19,1900-02-19,"Kristineberg",NA
"51","2005",2,20,2.42,2.43,2.44,2005-02-20,1900-02-20,"Kristineberg",NA
"52","2005",2,21,2.28,2.3,2.37,2005-02-21,1900-02-21,"Kristineberg",NA
"53","2005",2,22,2.4,2.4,2.41,2005-02-22,1900-02-22,"Kristineberg",NA
"54","2005",2,23,2.43,2.43,2.43,2005-02-23,1900-02-23,"Kristineberg",NA
"55","2005",2,24,2.23,2.23,2.23,2005-02-24,1900-02-24,"Kristineberg",NA
"56","2005",2,25,1.36,1.36,1.36,2005-02-25,1900-02-25,"Kristineberg",NA
"57","2005",2,26,1.21,1.21,1.21,2005-02-26,1900-02-26,"Kristineberg",NA
"58","2005",2,27,1.15,1.15,1.15,2005-02-27,1900-02-27,"Kristineberg",NA
"59","2005",2,28,0.92,0.92,0.92,2005-02-28,1900-02-28,"Kristineberg",NA
"60","2005",3,1,0.77,0.77,0.78,2005-03-01,1900-03-01,"Kristineberg",NA
"61","2005",3,2,0.47,0.47,0.47,2005-03-02,1900-03-02,"Kristineberg",NA
"62","2005",3,3,0.06,0.09,0.21,2005-03-03,1900-03-03,"Kristineberg",NA
"63","2005",3,4,1.05,1.05,1.05,2005-03-04,1900-03-04,"Kristineberg",NA
"64","2005",3,5,1.17,1.17,1.18,2005-03-05,1900-03-05,"Kristineberg",NA
"65","2005",3,6,1.04,1.04,1.06,2005-03-06,1900-03-06,"Kristineberg",NA
"66","2005",3,7,1.42,1.42,1.39,2005-03-07,1900-03-07,"Kristineberg",NA
"67","2005",3,8,1.51,1.51,1.54,2005-03-08,1900-03-08,"Kristineberg",NA
"68","2005",3,9,1.59,1.6,1.63,2005-03-09,1900-03-09,"Kristineberg",NA
"69","2005",3,10,1.35,1.34,1.34,2005-03-10,1900-03-10,"Kristineberg",NA
"70","2005",3,11,1.44,1.44,1.44,2005-03-11,1900-03-11,"Kristineberg",NA
"71","2005",3,12,2.18,2.28,2.7,2005-03-12,1900-03-12,"Kristineberg",NA
"72","2005",3,13,1.41,1.47,1.7,2005-03-13,1900-03-13,"Kristineberg",NA
"73","2005",3,14,1,1,0.99,2005-03-14,1900-03-14,"Kristineberg",NA
"74","2005",3,15,1.29,1.29,1.29,2005-03-15,1900-03-15,"Kristineberg",NA
"75","2005",3,16,1.57,1.57,1.56,2005-03-16,1900-03-16,"Kristineberg",NA
"76","2005",3,17,1.7,1.7,1.7,2005-03-17,1900-03-17,"Kristineberg",NA
"77","2005",3,18,1.74,1.74,1.75,2005-03-18,1900-03-18,"Kristineberg",NA
"78","2005",3,19,1.39,1.4,1.46,2005-03-19,1900-03-19,"Kristineberg",NA
"79","2005",3,20,1.44,1.45,1.49,2005-03-20,1900-03-20,"Kristineberg",NA
"80","2005",3,21,1.35,1.36,1.39,2005-03-21,1900-03-21,"Kristineberg",NA
"81","2005",3,22,1.65,1.65,1.65,2005-03-22,1900-03-22,"Kristineberg",NA
"82","2005",3,23,1.72,1.72,1.72,2005-03-23,1900-03-23,"Kristineberg",NA
"83","2005",3,24,1.93,1.93,1.9,2005-03-24,1900-03-24,"Kristineberg",NA
"84","2005",3,25,1.8,1.79,1.74,2005-03-25,1900-03-25,"Kristineberg",NA
"85","2005",3,26,2.3,2.25,2.09,2005-03-26,1900-03-26,"Kristineberg",NA
"86","2005",3,27,2.56,2.55,2.49,2005-03-27,1900-03-27,"Kristineberg",NA
"87","2005",3,28,3.39,3.36,3.25,2005-03-28,1900-03-28,"Kristineberg",NA
"88","2005",3,29,3.62,3.62,3.65,2005-03-29,1900-03-29,"Kristineberg",NA
"89","2005",3,30,3.65,3.61,3.49,2005-03-30,1900-03-30,"Kristineberg",NA
"90","2005",3,31,4.24,4.22,4.16,2005-03-31,1900-03-31,"Kristineberg",NA
"91","2005",4,1,4.53,4.51,4.41,2005-04-01,1900-04-01,"Kristineberg",NA
"92","2005",4,2,4.45,4.44,4.4,2005-04-02,1900-04-02,"Kristineberg",NA
"93","2005",4,3,4.6,4.57,4.46,2005-04-03,1900-04-03,"Kristineberg",NA
"94","2005",4,4,4.74,4.74,4.74,2005-04-04,1900-04-04,"Kristineberg",NA
"95","2005",4,5,4.6,4.6,4.6,2005-04-05,1900-04-05,"Kristineberg",NA
"96","2005",4,6,4.61,4.61,4.61,2005-04-06,1900-04-06,"Kristineberg",NA
"97","2005",4,7,5.02,5.02,5.02,2005-04-07,1900-04-07,"Kristineberg",NA
"98","2005",4,8,5.4,5.39,5.35,2005-04-08,1900-04-08,"Kristineberg",NA
"99","2005",4,9,5.38,5.39,5.45,2005-04-09,1900-04-09,"Kristineberg",NA
"100","2005",4,10,5.53,5.53,5.53,2005-04-10,1900-04-10,"Kristineberg",NA
"101","2005",4,11,5.71,5.71,5.71,2005-04-11,1900-04-11,"Kristineberg",NA
"102","2005",4,12,5.96,5.96,5.96,2005-04-12,1900-04-12,"Kristineberg",NA
"103","2005",4,13,6.09,6.08,6.08,2005-04-13,1900-04-13,"Kristineberg",NA
"104","2005",4,14,6.23,6.22,6.19,2005-04-14,1900-04-14,"Kristineberg",NA
"105","2005",4,15,6.24,6.21,6.07,2005-04-15,1900-04-15,"Kristineberg",NA
"106","2005",4,16,6.77,6.66,6.23,2005-04-16,1900-04-16,"Kristineberg",NA
"107","2005",4,17,7.09,7.01,6.67,2005-04-17,1900-04-17,"Kristineberg",NA
"108","2005",4,18,7.46,7.45,7.44,2005-04-18,1900-04-18,"Kristineberg",NA
"109","2005",4,19,7.43,7.43,7.43,2005-04-19,1900-04-19,"Kristineberg",NA
"110","2005",4,20,7.73,7.72,7.7,2005-04-20,1900-04-20,"Kristineberg",NA
"111","2005",4,21,7.3,7.29,7.28,2005-04-21,1900-04-21,"Kristineberg",NA
"112","2005",4,22,7.52,7.46,7.21,2005-04-22,1900-04-22,"Kristineberg",NA
"113","2005",4,23,7.7,7.66,7.47,2005-04-23,1900-04-23,"Kristineberg",NA
"114","2005",4,24,7.71,7.69,7.61,2005-04-24,1900-04-24,"Kristineberg",NA
"115","2005",4,25,7.93,7.88,7.66,2005-04-25,1900-04-25,"Kristineberg",NA
"116","2005",4,26,8.26,8.2,7.96,2005-04-26,1900-04-26,"Kristineberg",NA
"117","2005",4,27,8.47,8.43,8.27,2005-04-27,1900-04-27,"Kristineberg",NA
"118","2005",4,28,8.99,8.92,8.64,2005-04-28,1900-04-28,"Kristineberg",NA
"119","2005",4,29,8.95,8.94,8.92,2005-04-29,1900-04-29,"Kristineberg",NA
"120","2005",4,30,8.79,8.78,8.74,2005-04-30,1900-04-30,"Kristineberg",NA
"121","2005",5,1,9.27,9.23,9.03,2005-05-01,1900-05-01,"Kristineberg",NA
"122","2005",5,2,9.51,9.5,9.46,2005-05-02,1900-05-02,"Kristineberg",NA
"123","2005",5,3,9.31,9.31,9.29,2005-05-03,1900-05-03,"Kristineberg",NA
"124","2005",5,4,9.51,9.51,9.5,2005-05-04,1900-05-04,"Kristineberg",NA
"125","2005",5,5,9.78,9.79,9.8,2005-05-05,1900-05-05,"Kristineberg",NA
"126","2005",5,6,10,9.99,9.95,2005-05-06,1900-05-06,"Kristineberg",NA
"127","2005",5,7,9.81,9.79,9.72,2005-05-07,1900-05-07,"Kristineberg",NA
"128","2005",5,8,9.52,9.52,9.48,2005-05-08,1900-05-08,"Kristineberg",NA
"129","2005",5,9,10.28,10.28,10.28,2005-05-09,1900-05-09,"Kristineberg",NA
"130","2005",5,10,10.73,10.65,10.33,2005-05-10,1900-05-10,"Kristineberg",NA
"131","2005",5,11,10.76,10.66,10.27,2005-05-11,1900-05-11,"Kristineberg",NA
"132","2005",5,12,10.38,10.24,9.67,2005-05-12,1900-05-12,"Kristineberg",NA
"133","2005",5,13,10.84,10.64,9.84,2005-05-13,1900-05-13,"Kristineberg",NA
"134","2005",5,14,11.38,11.18,10.35,2005-05-14,1900-05-14,"Kristineberg",NA
"135","2005",5,15,11.53,11.45,11.13,2005-05-15,1900-05-15,"Kristineberg",NA
"136","2005",5,16,11.03,11.02,10.97,2005-05-16,1900-05-16,"Kristineberg",NA
"137","2005",5,17,11,11.01,11.03,2005-05-17,1900-05-17,"Kristineberg",NA
"138","2005",5,18,11.09,11.09,11.09,2005-05-18,1900-05-18,"Kristineberg",NA
"139","2005",5,19,11.05,11.05,11.05,2005-05-19,1900-05-19,"Kristineberg",NA
"140","2005",5,20,11.19,11.19,11.19,2005-05-20,1900-05-20,"Kristineberg",NA
"141","2005",5,21,10.78,10.78,10.78,2005-05-21,1900-05-21,"Kristineberg",NA
"142","2005",5,22,10.94,10.94,10.94,2005-05-22,1900-05-22,"Kristineberg",NA
"143","2005",5,23,11.54,11.53,11.53,2005-05-23,1900-05-23,"Kristineberg",NA
"144","2005",5,24,11.68,11.68,11.68,2005-05-24,1900-05-24,"Kristineberg",NA
"145","2005",5,25,11.83,11.83,11.83,2005-05-25,1900-05-25,"Kristineberg",NA
"146","2005",5,26,11.99,11.99,11.98,2005-05-26,1900-05-26,"Kristineberg",NA
"147","2005",5,27,12.09,12.09,12.09,2005-05-27,1900-05-27,"Kristineberg",NA
"148","2005",5,28,12.46,12.42,12.26,2005-05-28,1900-05-28,"Kristineberg",NA
"149","2005",5,29,12.72,12.72,12.72,2005-05-29,1900-05-29,"Kristineberg",NA
"150","2005",5,30,13.26,13.26,13.27,2005-05-30,1900-05-30,"Kristineberg",NA
"151","2005",5,31,13.01,13.02,13.08,2005-05-31,1900-05-31,"Kristineberg",NA
"152","2005",6,1,12.99,12.98,12.95,2005-06-01,1900-06-01,"Kristineberg",NA
"153","2005",6,2,12.85,12.86,12.86,2005-06-02,1900-06-02,"Kristineberg",NA
"154","2005",6,3,12.85,12.84,12.83,2005-06-03,1900-06-03,"Kristineberg",NA
"155","2005",6,4,12.95,12.92,12.81,2005-06-04,1900-06-04,"Kristineberg",NA
"156","2005",6,5,12.96,12.9,12.69,2005-06-05,1900-06-05,"Kristineberg",NA
"157","2005",6,6,12.68,12.68,12.7,2005-06-06,1900-06-06,"Kristineberg",NA
"158","2005",6,7,12.46,12.43,12.3,2005-06-07,1900-06-07,"Kristineberg",NA
"159","2005",6,8,12.92,12.85,12.55,2005-06-08,1900-06-08,"Kristineberg",NA
"160","2005",6,9,13.51,13.5,13.44,2005-06-09,1900-06-09,"Kristineberg",NA
"161","2005",6,10,13.59,13.58,13.55,2005-06-10,1900-06-10,"Kristineberg",NA
"162","2005",6,11,14.1,14.05,13.84,2005-06-11,1900-06-11,"Kristineberg",NA
"163","2005",6,12,14.63,14.58,14.4,2005-06-12,1900-06-12,"Kristineberg",NA
"164","2005",6,13,14.56,14.56,14.52,2005-06-13,1900-06-13,"Kristineberg",NA
"165","2005",6,14,13.67,13.67,13.69,2005-06-14,1900-06-14,"Kristineberg",NA
"166","2005",6,15,14.17,14.13,13.97,2005-06-15,1900-06-15,"Kristineberg",NA
"167","2005",6,16,14.39,14.39,14.4,2005-06-16,1900-06-16,"Kristineberg",NA
"168","2005",6,17,13.91,13.92,13.93,2005-06-17,1900-06-17,"Kristineberg",NA
"169","2005",6,18,14.15,14.13,14.05,2005-06-18,1900-06-18,"Kristineberg",NA
"170","2005",6,19,14.62,14.55,14.23,2005-06-19,1900-06-19,"Kristineberg",NA
"171","2005",6,20,15.96,15.95,15.92,2005-06-20,1900-06-20,"Kristineberg",NA
"172","2005",6,21,16.13,16.12,16.07,2005-06-21,1900-06-21,"Kristineberg",NA
"173","2005",6,22,16.18,16.18,16.18,2005-06-22,1900-06-22,"Kristineberg",NA
"174","2005",6,23,16.51,16.51,16.49,2005-06-23,1900-06-23,"Kristineberg",NA
"175","2005",6,24,16.77,16.77,16.77,2005-06-24,1900-06-24,"Kristineberg",NA
"176","2005",6,25,16.79,16.73,16.48,2005-06-25,1900-06-25,"Kristineberg",NA
"177","2005",6,26,17.04,17.03,16.98,2005-06-26,1900-06-26,"Kristineberg",NA
"178","2005",6,27,16.38,16.39,16.42,2005-06-27,1900-06-27,"Kristineberg",NA
"179","2005",6,28,16.22,16.23,16.25,2005-06-28,1900-06-28,"Kristineberg",NA
"180","2005",6,29,16.76,16.74,16.64,2005-06-29,1900-06-29,"Kristineberg",NA
"181","2005",6,30,17.3,17.19,16.76,2005-06-30,1900-06-30,"Kristineberg",NA
"182","2005",7,1,17.69,17.61,17.29,2005-07-01,1900-07-01,"Kristineberg",NA
"183","2005",7,2,17.79,17.72,17.45,2005-07-02,1900-07-02,"Kristineberg",NA
"184","2005",7,3,17.96,17.88,17.56,2005-07-03,1900-07-03,"Kristineberg",NA
"185","2005",7,4,17.74,17.71,17.58,2005-07-04,1900-07-04,"Kristineberg",NA
"186","2005",7,5,17.89,17.9,17.9,2005-07-05,1900-07-05,"Kristineberg",NA
"187","2005",7,6,18.21,18.16,17.96,2005-07-06,1900-07-06,"Kristineberg",NA
"188","2005",7,7,18.66,18.59,18.33,2005-07-07,1900-07-07,"Kristineberg",NA
"189","2005",7,8,18.16,18.08,17.79,2005-07-08,1900-07-08,"Kristineberg",NA
"190","2005",7,9,18.8,18.65,18.05,2005-07-09,1900-07-09,"Kristineberg",NA
"191","2005",7,10,19.47,19.3,18.63,2005-07-10,1900-07-10,"Kristineberg",NA
"192","2005",7,11,19.85,19.8,19.61,2005-07-11,1900-07-11,"Kristineberg",NA
"193","2005",7,12,20.08,20.07,20.05,2005-07-12,1900-07-12,"Kristineberg",NA
"194","2005",7,13,20.02,20.02,20.02,2005-07-13,1900-07-13,"Kristineberg",NA
"195","2005",7,14,20.02,20.02,20.01,2005-07-14,1900-07-14,"Kristineberg",NA
"196","2005",7,15,19.92,19.91,19.88,2005-07-15,1900-07-15,"Kristineberg",NA
"197","2005",7,16,19.61,19.6,19.56,2005-07-16,1900-07-16,"Kristineberg",NA
"198","2005",7,17,19.47,19.5,19.63,2005-07-17,1900-07-17,"Kristineberg",NA
"199","2005",7,18,19.97,19.9,19.65,2005-07-18,1900-07-18,"Kristineberg",NA
"200","2005",7,19,19.83,19.82,19.79,2005-07-19,1900-07-19,"Kristineberg",NA
"201","2005",7,20,18.83,18.84,18.85,2005-07-20,1900-07-20,"Kristineberg",NA
"202","2005",7,21,19.29,19.22,18.93,2005-07-21,1900-07-21,"Kristineberg",NA
"203","2005",7,22,18.95,18.9,18.72,2005-07-22,1900-07-22,"Kristineberg",NA
"204","2005",7,23,18.6,18.53,18.22,2005-07-23,1900-07-23,"Kristineberg",NA
"205","2005",7,24,18.17,18.16,18.1,2005-07-24,1900-07-24,"Kristineberg",NA
"206","2005",7,25,17.71,17.72,17.76,2005-07-25,1900-07-25,"Kristineberg",NA
"207","2005",7,26,17.67,17.69,17.78,2005-07-26,1900-07-26,"Kristineberg",NA
"208","2005",7,27,17.68,17.69,17.73,2005-07-27,1900-07-27,"Kristineberg",NA
"209","2005",7,28,17.78,17.78,17.76,2005-07-28,1900-07-28,"Kristineberg",NA
"210","2005",7,29,17.88,17.85,17.76,2005-07-29,1900-07-29,"Kristineberg",NA
"211","2005",7,30,17.83,17.84,17.88,2005-07-30,1900-07-30,"Kristineberg",NA
"212","2005",7,31,17.87,17.87,17.9,2005-07-31,1900-07-31,"Kristineberg",NA
"213","2005",8,1,18.34,18.33,18.29,2005-08-01,1900-08-01,"Kristineberg",NA
"214","2005",8,2,18.19,18.19,18.19,2005-08-02,1900-08-02,"Kristineberg",NA
"215","2005",8,3,17.95,17.96,17.99,2005-08-03,1900-08-03,"Kristineberg",NA
"216","2005",8,4,18.04,18.04,18.04,2005-08-04,1900-08-04,"Kristineberg",NA
"217","2005",8,5,17.85,17.85,17.86,2005-08-05,1900-08-05,"Kristineberg",NA
"218","2005",8,6,17.95,17.94,17.91,2005-08-06,1900-08-06,"Kristineberg",NA
"219","2005",8,7,17.34,17.33,17.27,2005-08-07,1900-08-07,"Kristineberg",NA
"220","2005",8,8,17.4,17.41,17.42,2005-08-08,1900-08-08,"Kristineberg",NA
"221","2005",8,9,17.57,17.58,17.6,2005-08-09,1900-08-09,"Kristineberg",NA
"222","2005",8,10,17.59,17.57,17.5,2005-08-10,1900-08-10,"Kristineberg",NA
"223","2005",8,11,17.83,17.8,17.68,2005-08-11,1900-08-11,"Kristineberg",NA
"224","2005",8,12,17.74,17.74,17.73,2005-08-12,1900-08-12,"Kristineberg",NA
"225","2005",8,13,17.52,17.52,17.53,2005-08-13,1900-08-13,"Kristineberg",NA
"226","2005",8,14,17.21,17.22,17.24,2005-08-14,1900-08-14,"Kristineberg",NA
"227","2005",8,15,17.17,17.18,17.24,2005-08-15,1900-08-15,"Kristineberg",NA
"228","2005",8,16,17.58,17.58,17.59,2005-08-16,1900-08-16,"Kristineberg",NA
"229","2005",8,17,17.56,17.58,17.63,2005-08-17,1900-08-17,"Kristineberg",NA
"230","2005",8,18,17.93,17.92,17.89,2005-08-18,1900-08-18,"Kristineberg",NA
"231","2005",8,19,17.76,17.76,17.75,2005-08-19,1900-08-19,"Kristineberg",NA
"232","2005",8,20,17.88,17.87,17.84,2005-08-20,1900-08-20,"Kristineberg",NA
"233","2005",8,21,18.23,18.2,18.11,2005-08-21,1900-08-21,"Kristineberg",NA
"234","2005",8,22,18.5,18.49,18.47,2005-08-22,1900-08-22,"Kristineberg",NA
"235","2005",8,23,18.49,18.49,18.49,2005-08-23,1900-08-23,"Kristineberg",NA
"236","2005",8,24,18.49,18.49,18.49,2005-08-24,1900-08-24,"Kristineberg",NA
"237","2005",8,25,18.22,18.22,18.22,2005-08-25,1900-08-25,"Kristineberg",NA
"238","2005",8,26,17.69,17.69,17.7,2005-08-26,1900-08-26,"Kristineberg",NA
"239","2005",8,27,17.47,17.47,17.47,2005-08-27,1900-08-27,"Kristineberg",NA
"240","2005",8,28,16.91,16.91,16.91,2005-08-28,1900-08-28,"Kristineberg",NA
