Temperature	Dev_time	Location	Experiment
16.89	9	Kristineberg	Bjelvenmark_and_Forsgren_2003
18.39	10	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.70	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
14.57	14	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.91	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.94	9	Kristineberg	Bjelvenmark_and_Forsgren_2003
14.80	15	Kristineberg	Bjelvenmark_and_Forsgren_2003
14.64	14	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.55	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.59	12	Kristineberg	Bjelvenmark_and_Forsgren_2003
13.31	16	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.00	12	Kristineberg	Bjelvenmark_and_Forsgren_2003
14.21	14	Kristineberg	Bjelvenmark_and_Forsgren_2003
14.67	15	Kristineberg	Bjelvenmark_and_Forsgren_2003
18.10	10	Kristineberg	Bjelvenmark_and_Forsgren_2003
14.30	15	Kristineberg	Bjelvenmark_and_Forsgren_2003
15.64	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.50	10	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.38	12	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.45	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
18.44	10	Kristineberg	Bjelvenmark_and_Forsgren_2003
15.35	13	Kristineberg	Bjelvenmark_and_Forsgren_2003
14.67	15	Kristineberg	Bjelvenmark_and_Forsgren_2003
15.12	13	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.04	12	Kristineberg	Bjelvenmark_and_Forsgren_2003
13.47	16	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.72	10	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.23	12	Kristineberg	Bjelvenmark_and_Forsgren_2003
19.75	9	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.61	10	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.05	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.20	10	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.04	12	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.89	10	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.35	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.90	10	Kristineberg	Bjelvenmark_and_Forsgren_2003
13.14	14	Kristineberg	Bjelvenmark_and_Forsgren_2003
14.69	13	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.18	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.73	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
14.65	13	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.27	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.15	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.72	9	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.73	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
15.00	13	Kristineberg	Bjelvenmark_and_Forsgren_2003
15.04	12	Kristineberg	Bjelvenmark_and_Forsgren_2003
13.06	16	Kristineberg	Bjelvenmark_and_Forsgren_2003
14.68	14	Kristineberg	Bjelvenmark_and_Forsgren_2003
12.91	16	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.06	9	Kristineberg	Bjelvenmark_and_Forsgren_2003
13.28	16	Kristineberg	Bjelvenmark_and_Forsgren_2003
17.70	10	Kristineberg	Bjelvenmark_and_Forsgren_2003
16.30	11	Kristineberg	Bjelvenmark_and_Forsgren_2003
8.50	24	Bergen	Bjelvenmark_and_Forsgren_2003
13.00	13	Bergen	Bjelvenmark_and_Forsgren_2003
16.30	10.15	Kristineberg	Svensson_et_al._2006
14.90	11.3	Kristineberg	Forsgren_et_al._2013
18.50	5.5	Portugal	Lopes_et_al._2020
16.00	8.5	Portugal	Lopes_personal_communication
