"","area","location","Timepoint","date","water_temp","nest_ID","Nest_size","Live_eggs","Egg_squares","Eyed","male","length","weight","canibalism","hatched_in_box"
"1","Arendal","Langrumpa","3","21.07.2022",17.7,15,"s","y",22,"n","y",36,36,"y",""
"2","Arendal","Sven Johnsens","2","22.06.2022",14.6,13,"s","y",17,"n","y",36.5,39,"y",""
"3","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,15,"s","n",0,"","y",36.5,34,"",""
"4","Austevoll","Lamoya","3","22.07.2022",NA,17,"s","y",30,"n","y",37,41,"n",""
"5","Arendal","Langrumpa","3","21.07.2022",17.7,21,"s","y",16,"n","y",37.5,46,"n",""
"6","Arendal","St Helena","2","17.06.2022",NA,28,"l","y",8,"y","y",37.5,47,"","y"
"7","Arendal","St Helena","2","17.06.2022",NA,25,"s","y",4,"y","y",38,48,"","y"
"8","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,13,"s","y",27.5,"n","y",38,49,"y",""
"9","Austevoll","Krabbavika","2","19.06.2022",12.9,22,"l","y",52,"y","y",38,44,"n",""
"10","Arendal","Sven Johnsens","3","20.07.2022",16.6,5,"s","y",20,"n","y",38.5,49,"y","y"
"11","Arendal","St Helena","3","19.07.2022",17.3,23,"s","y",30,"n","y",38.5,44,"n",""
"12","Hitra","Feoya f4-5","2","10.06.2022",10.25,22,"","n",0,"","y",39,42,"",""
"13","Hitra","Teistholmen 10","3","07.07.2022",13,9,"s","y",16,"y","y",39,47,"n",""
"14","Arendal","Sven Johnsens","3","20.07.2022",16.6,11,"s","y",8,"n","y",39,47,"n",""
"15","Arendal","St Helena","3","19.07.2022",17.3,1,"s","y",26,"n","y",39,52,"n",""
"16","Austevoll","Krabbavika","3","21.07.2022",15.9,21,"s","y",27.5,"y","y",39,63,"y",""
"17","Austevoll","Krabbavika","3","21.07.2022",15.9,27,"s","y",11,"n","y",39,50,"",""
"18","Hitra","Teistholmen 10","3","07.07.2022",13,12,"l","y",36,"n","y",39.5,55,"n",""
"19","Arendal","St Helena","2","17.06.2022",NA,29,"s","y",29,"n","y",39.5,58,"y",""
"20","Hitra","Teistholmen 10","3","07.07.2022",13,13,"s","y",40,"n","y",40,59,"n",""
"21","Hitra","Teistholmen 10","3","07.07.2022",13,16,"l","y",7,"y","y",40,50,"n",""
"22","Arendal","St Helena","3","19.07.2022",17.3,25,"s","n",0,"","y",40,50,"",""
"23","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,21,"s","y",8,"y","y",40,57,"y",""
"24","Austevoll","Krabbavika","3","21.07.2022",15.9,9,"s","y",37,"n","y",40,50,"n",""
"25","Austevoll","Krabbavika","3","21.07.2022",15.9,10,"l","y",78,"y","y",40,54,"y",""
"26","Austevoll","Tipatiskaeret","2","22.06.2022",13.4,29,"s","y",26,"y","y",40,49,"",""
"27","Austevoll","Lamoya","2","20.0.2022",13.9,18,"l","y",87.5,"y","y",40,52,"y",""
"28","Arendal","St Helena","3","19.07.2022",17.3,5,"s","y",10,"y","y",40.5,49,"y","y"
"29","Arendal","Langrumpa","2","21.06.2022",14.5,17,"s","y",30,"n","y",40.5,50,"n",""
"30","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,13,"s","y",3,"n","y",40.5,59,"y",""
"31","Austevoll","Tipatiskaeret","3","24.07.2022",15.1,15,"s","y",28,"y","y",40.5,49,"y",""
"32","Helligvaer","Store-kvannoya","2","10.06.2022",NA,5,"s","y",28,"n","y",40.5,49,"n",""
"33","Hitra","Feoya f4-5","3","10.07.2022",12.8,2,"l","n",0,"","y",41,52,"",""
"34","Hitra","Feoya f4-5","3","10.07.2022",12.8,21,"s","y",31,"y","y",41,58,"n",""
