"","area","location","timepoint","date","measurer","waves","sun","rain","temp","st.catch","end.catch","visibility","ID","zone","sex","sex.method","roundness","length","weight","comment","roundness2","date2","meanmaxtempdate","datetomeanmax"
"1","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",14,"3","f","r","1",35.5,29,"","1",2024-05-08,2022-11-24,530.400000000003
"2","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",7,"3","f","f","1",38.5,35,"","1",2024-05-08,2022-11-24,530.400000000003
"3","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",66,"1","m","af","m",37,37,"","m",2024-05-08,2022-11-24,530.400000000003
"4","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",40,"1","m","af","m",36,39,"","m",2024-05-08,2022-11-24,530.400000000003
"5","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",57,"1","f","r","1",38,41,"","1",2024-05-08,2022-11-24,530.400000000003
"6","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",23,"2","m","af","m",38,42,"","m",2024-05-08,2022-11-24,530.400000000003
"7","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",13,"3","f","r","1",39,44,"","1",2024-05-08,2022-11-24,530.400000000003
"8","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",15,"3","m","af","m",40,44,"","m",2024-05-08,2022-11-24,530.400000000003
"9","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",56,"1","f","r","1",39,46,"","1",2024-05-08,2022-11-24,530.400000000003
"10","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",37,"2","f","r","2",38,47,"","2",2024-05-08,2022-11-24,530.400000000003
"11","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",44,"1","m","af","m",39,49,"","m",2024-05-08,2022-11-24,530.400000000003
"12","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",45,"1","m","af","m",39,49,"","m",2024-05-08,2022-11-24,530.400000000003
"13","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",18,"3","m","af","m",40,50,"","m",2024-05-08,2022-11-24,530.400000000003
"14","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",17,"3","m","af","m",40,51,"","m",2024-05-08,2022-11-24,530.400000000003
"15","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",25,"2","m","af","m",40.5,51,"","m",2024-05-08,2022-11-24,530.400000000003
"16","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",26,"2","m","af","m",40.5,51,"","m",2024-05-08,2022-11-24,530.400000000003
"17","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",64,"1","f","r","1",40.5,51,"","1",2024-05-08,2022-11-24,530.400000000003
"18","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",41,"1","m","af","m",40,52,"","m",2024-05-08,2022-11-24,530.400000000003
"19","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",47,"1","m","af","m",39,53,"","m",2024-05-08,2022-11-24,530.400000000003
"20","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",32,"2","m","af","m",40.5,53,"","m",2024-05-08,2022-11-24,530.400000000003
"21","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",59,"1","f","r","2",39,54,"","2",2024-05-08,2022-11-24,530.400000000003
"22","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",49,"1","f","r","1",39.5,55,"","1",2024-05-08,2022-11-24,530.400000000003
"23","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",12,"3","f","r","2",41.5,55,"","2",2024-05-08,2022-11-24,530.400000000003
"24","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",67,"1","f","r","1",39,56,"","1",2024-05-08,2022-11-24,530.400000000003
"25","Arendal","Badstuholmen","1","08.05.2022","IM",20,"Y","N",8,"11:30","12:30","medium",21,"2","m","af","m",41,56,"","m",2024-05-08,2022-11-24,530.400000000003
