ID_rep	ID	Area	Replicate
SORT-01	SORT-01_01	Kristineberg	1
SORT-02	SORT-02_01	Kristineberg	1
SORT-03	SORT-03_01	Kristineberg	1
SORT-04	SORT-04_01	Kristineberg	1
SORT-05	SORT-05_01	Kristineberg	1
SORT-06	SORT-06_01	Kristineberg	1
SORT-07	SORT-07_01	Kristineberg	1
SORT-08	SORT-08_01	Kristineberg	1
SORT-09	SORT-09_01	Kristineberg	1
SORT-10	SORT-10_01	Kristineberg	1
SORT-11	SORT-11_01	Austevoll	1
SORT-12	SORT-12_01	Austevoll	1
SORT-13	SORT-13_01	Austevoll	1
SORT-14	SORT-14_01	Austevoll	1
SORT-15	SORT-15_01	Austevoll	1
SORT-16	SORT-16_01	Austevoll	1
SORT-17	SORT-17_01	Austevoll	1
SORT-18	SORT-18_01	Austevoll	1
SORT-19	SORT-19_01	Austevoll	1
SORT-20	SORT-20_01	Austevoll	1
SORT-21	SORT-21_01	Helligvaer	1
SORT-22	SORT-22_01	Helligvaer	1
SORT-23	SORT-23_01	Helligvaer	1
SORT-24	SORT-24_01	Helligvaer	1
SORT-25	SORT-25_01	Helligvaer	1
SORT-26	SORT-26_01	Helligvaer	1
SORT-27	SORT-27_01	Helligvaer	1
SORT-28	SORT-28_01	Helligvaer	1
SORT-29	SORT-29_01	Helligvaer	1
SORT-30	SORT-30_01	Helligvaer	1
SORT-31	SORT-31_01	Hitra	1
SORT-32	SORT-32_01	Hitra	1
SORT-33	SORT-33_01	Hitra	1
SORT-34	SORT-34_01	Hitra	1
SORT-35	SORT-35_01	Hitra	1
SORT-36	SORT-36_01	Hitra	1
SORT-37	SORT-37_01	Hitra	1
SORT-38	SORT-38_01	Hitra	1
SORT-39	SORT-39_01	Hitra	1
SORT-40	SORT-40_01	Hitra	1
SORT-41	SORT-41_01	Arendal	1
SORT-42	SORT-42_01	Arendal	1
SORT-43	SORT-43_01	Arendal	1
SORT-44	SORT-44_01	Arendal	1
SORT-45	SORT-45_01	Arendal	1
SORT-46	SORT-46_01	Arendal	1
SORT-47	SORT-47_01	Arendal	1
SORT-48	SORT-48_01	Arendal	1
SORT-49	SORT-49_01	Arendal	1
SORT-50	SORT-50_01	Arendal	1
SORT-51	SORT-51_01	Ringstad	1
SORT-52	SORT-52_01	Ringstad	1
SORT-53	SORT-53_01	Ringstad	1
SORT-54	SORT-54_01	Ringstad	1
SORT-55	SORT-55_01	Ringstad	1
SORT-56	SORT-56_01	Ringstad	1
SORT-57	SORT-57_01	Ringstad	1
SORT-58	SORT-58_01	Ringstad	1
SORT-59	SORT-59_01	Ringstad	1
SORT-60	SORT-60_01	Ringstad	1
SORT-61	SORT-61_01	Austevoll	1
SORT-62	SORT-62_01	Austevoll	1
SORT-63	SORT-63_01	Austevoll	1
SORT-64	SORT-64_01	Austevoll	1
SORT-65	SORT-65_01	Austevoll	1
SORT-66	SORT-66_01	Austevoll	1
SORT-67	SORT-67_01	Austevoll	1
SORT-68	SORT-68_01	Austevoll	1
SORT-69	SORT-69_01	Austevoll	1
SORT-70	SORT-70_01	Austevoll	1
SORT-71	SORT-71_01	Hitra	1
SORT-72	SORT-72_01	Hitra	1
SORT-73	SORT-73_01	Hitra	1
SORT-74	SORT-74_01	Hitra	1
SORT-75	SORT-75_01	Hitra	1
SORT-76	SORT-76_01	Hitra	1
SORT-77	SORT-77_01	Hitra	1
SORT-78	SORT-78_01	Hitra	1
SORT-79	SORT-79_01	Hitra	1
SORT-80	SORT-80_01	Hitra	1
SORT-81	SORT-81_01	Arendal	1
SORT-82	SORT-82_01	Arendal	1
SORT-83	SORT-83_01	Arendal	1
SORT-84	SORT-84_01	Arendal	1
SORT-85	SORT-85_01	Arendal	1
SORT-86	SORT-86_01	Arendal	1
SORT-87	SORT-87_01	Arendal	1
SORT-88	SORT-88_01	Arendal	1
SORT-89	SORT-89_01	Arendal	1
SORT-90	SORT-90_01	Arendal	1
SORT-91	SORT-91_01	Kristineberg	1
SORT-92	SORT-92_01	Kristineberg	1
SORT-93	SORT-93_01	Kristineberg	1
SORT-94	SORT-94_01	Kristineberg	1
SORT-95	SORT-95_01	Kristineberg	1
SORT-96	SORT-96_01	Kristineberg	1
SORT-97	SORT-97_01	Kristineberg	1
SORT-98	SORT-98_01	Kristineberg	1
SORT-99	SORT-99_01	Kristineberg	1
SORT-100	SORT-100_01	Kristineberg	1
SORT-101	SORT-101_01	Helligvaer	1
SORT-102	SORT-102_01	Helligvaer	1
SORT-103	SORT-103_01	Helligvaer	1
SORT-104	SORT-104_01	Helligvaer	1
SORT-105	SORT-105_01	Helligvaer	1
SORT-106	SORT-106_01	Helligvaer	1
SORT-107	SORT-107_01	Helligvaer	1
SORT-108	SORT-108_01	Helligvaer	1
SORT-109	SORT-109_01	Helligvaer	1
SORT-110	SORT-110_01	Helligvaer	1
SORT-111	SORT-111_01	Ringstad	1
SORT-112	SORT-112_01	Ringstad	1
SORT-113	SORT-113_01	Ringstad	1
SORT-114	SORT-114_01	Ringstad	1
SORT-115	SORT-115_01	Ringstad	1
SORT-116	SORT-116_01	Ringstad	1
SORT-117	SORT-117_01	Ringstad	1
SORT-118	SORT-118_01	Ringstad	1
SORT-119	SORT-119_01	Ringstad	1
SORT-120	SORT-120_01	Ringstad	1
SORT-121	SORT-121_01	Arendal	1
SORT-122	SORT-122_01	Arendal	1
SORT-123	SORT-123_01	Arendal	1
SORT-124	SORT-124_01	Arendal	1
SORT-125	SORT-125_01	Arendal	1
SORT-126	SORT-126_01	Arendal	1
SORT-127	SORT-127_01	Arendal	1
SORT-128	SORT-128_01	Arendal	1
SORT-129	SORT-129_01	Arendal	1
SORT-130	SORT-130_01	Arendal	1
SORT-131	SORT-131_01	Austevoll	1
SORT-132	SORT-132_01	Austevoll	1
SORT-133	SORT-133_01	Austevoll	1
SORT-134	SORT-134_01	Austevoll	1
SORT-135	SORT-135_01	Austevoll	1
SORT-136	SORT-136_01	Austevoll	1
SORT-137	SORT-137_01	Austevoll	1
SORT-138	SORT-138_01	Austevoll	1
SORT-139	SORT-139_01	Austevoll	1
SORT-140	SORT-140_01	Austevoll	1
SORT-141	SORT-141_01	Hitra	1
SORT-142	SORT-142_01	Hitra	1
SORT-143	SORT-143_01	Hitra	1
SORT-144	SORT-144_01	Hitra	1
SORT-145	SORT-145_01	Hitra	1
SORT-146	SORT-146_01	Hitra	1
SORT-147	SORT-147_01	Hitra	1
SORT-148	SORT-148_01	Hitra	1
SORT-149	SORT-149_01	Hitra	1
SORT-150	SORT-150_01	Hitra	1
SORT-151	SORT-151_01	Ringstad	1
SORT-152	SORT-152_01	Ringstad	1
SORT-153	SORT-153_01	Ringstad	1
SORT-154	SORT-154_01	Ringstad	1
SORT-155	SORT-155_01	Ringstad	1
SORT-156	SORT-156_01	Ringstad	1
SORT-157	SORT-157_01	Ringstad	1
SORT-158	SORT-158_01	Ringstad	1
SORT-159	SORT-159_01	Ringstad	1
SORT-160	SORT-160_01	Ringstad	1
SORT-161	SORT-161_01	Kristineberg	1
SORT-162	SORT-162_01	Kristineberg	1
SORT-163	SORT-163_01	Kristineberg	1
SORT-164	SORT-164_01	Kristineberg	1
SORT-165	SORT-165_01	Kristineberg	1
SORT-166	SORT-166_01	Kristineberg	1
SORT-167	SORT-167_01	Kristineberg	1
SORT-168	SORT-168_01	Kristineberg	1
SORT-169	SORT-169_01	Kristineberg	1
SORT-170	SORT-170_01	Kristineberg	1
SORT-171	SORT-171_01	Helligvaer	1
SORT-172	SORT-172_01	Helligvaer	1
SORT-173	SORT-173_01	Helligvaer	1
SORT-174	SORT-174_01	Helligvaer	1
SORT-175	SORT-175_01	Helligvaer	1
SORT-176	SORT-176_01	Helligvaer	1
SORT-177	SORT-177_01	Helligvaer	1
SORT-178	SORT-178_01	Helligvaer	1
SORT-179	SORT-179_01	Helligvaer	1
SORT-180	SORT-180_01	Helligvaer	1
SORT-01	SORT-01_02	Kristineberg	2
SORT-02	SORT-02_02	Kristineberg	2
SORT-03	SORT-03_02	Kristineberg	2
SORT-04	SORT-04_02	Kristineberg	2
SORT-05	SORT-05_02	Kristineberg	2
SORT-06	SORT-06_02	Kristineberg	2
SORT-07	SORT-07_02	Kristineberg	2
SORT-08	SORT-08_02	Kristineberg	2
SORT-09	SORT-09_02	Kristineberg	2
SORT-10	SORT-10_02	Kristineberg	2
SORT-11	SORT-11_02	Austevoll	2
SORT-12	SORT-12_02	Austevoll	2
SORT-13	SORT-13_02	Austevoll	2
SORT-14	SORT-14_02	Austevoll	2
SORT-15	SORT-15_02	Austevoll	2
SORT-16	SORT-16_02	Austevoll	2
SORT-17	SORT-17_02	Austevoll	2
SORT-18	SORT-18_02	Austevoll	2
SORT-19	SORT-19_02	Austevoll	2
SORT-20	SORT-20_02	Austevoll	2
SORT-21	SORT-21_02	Helligvaer	2
SORT-22	SORT-22_02	Helligvaer	2
SORT-23	SORT-23_02	Helligvaer	2
SORT-24	SORT-24_02	Helligvaer	2
SORT-25	SORT-25_02	Helligvaer	2
SORT-26	SORT-26_02	Helligvaer	2
SORT-27	SORT-27_02	Helligvaer	2
SORT-28	SORT-28_02	Helligvaer	2
SORT-29	SORT-29_02	Helligvaer	2
SORT-30	SORT-30_02	Helligvaer	2
SORT-31	SORT-31_02	Hitra	2
SORT-32	SORT-32_02	Hitra	2
SORT-33	SORT-33_02	Hitra	2
SORT-34	SORT-34_02	Hitra	2
SORT-35	SORT-35_02	Hitra	2
SORT-36	SORT-36_02	Hitra	2
SORT-37	SORT-37_02	Hitra	2
SORT-38	SORT-38_02	Hitra	2
SORT-39	SORT-39_02	Hitra	2
SORT-40	SORT-40_02	Hitra	2
SORT-41	SORT-41_02	Arendal	2
SORT-42	SORT-42_02	Arendal	2
SORT-43	SORT-43_02	Arendal	2
SORT-44	SORT-44_02	Arendal	2
SORT-45	SORT-45_02	Arendal	2
SORT-46	SORT-46_02	Arendal	2
SORT-47	SORT-47_02	Arendal	2
SORT-48	SORT-48_02	Arendal	2
SORT-49	SORT-49_02	Arendal	2
SORT-50	SORT-50_02	Arendal	2
SORT-51	SORT-51_02	Ringstad	2
SORT-52	SORT-52_02	Ringstad	2
SORT-53	SORT-53_02	Ringstad	2
SORT-54	SORT-54_02	Ringstad	2
SORT-55	SORT-55_02	Ringstad	2
SORT-56	SORT-56_02	Ringstad	2
SORT-57	SORT-57_02	Ringstad	2
SORT-58	SORT-58_02	Ringstad	2
SORT-59	SORT-59_02	Ringstad	2
SORT-60	SORT-60_02	Ringstad	2
SORT-61	SORT-61_02	Austevoll	2
