"","location","timepoint","f1","f2","f3","m","u","area","meanmaxtempdate","date","datetomeanmax","Area","temp2022","temp","maxtemp","temp2002","Catch","Population","daynr","endnr","broodsleft","broodsleftF","DDleft","DDleftF"
"1","Blabergsholmen","Timepoint 1",13,41,5,32,0,"Kristineberg",2022-08-17,2022-04-27,618.8,"Kristineberg",8.35,8.15767459674337,18.5146464992697,8.35,59,"Kristineberg",116,292,14.2106933514999,10.6481728440408,2663.85205958237,1962.99289440201
"2","Katten","Timepoint 1",28,26,6,27,0,"Kristineberg",2022-08-17,2022-04-29,620.8,"Kristineberg",9.39,8.46520754198984,18.5146464992697,9.39,60,"Kristineberg",118,292,14.1311123557464,10.5685918482873,2647.53631861922,1946.67715343886
"3","Pittleholmen","Timepoint 1",21,30,14,33,0,"Kristineberg",2022-08-17,2022-04-30,621.8,"Kristineberg",9.87,8.62057933323471,18.5146464992697,9.87,65,"Kristineberg",119,292,14.0904325112403,10.5279120037811,2639.14836256003,1938.28919737967
"4","Rodberget","Timepoint 1",34,39,5,31,0,"Kristineberg",2022-08-17,2022-05-01,622.8,"Kristineberg",9.73,8.77693546836367,18.5146464992697,9.73,78,"Kristineberg",120,292,14.049142204885,10.4866216974259,2630.60555385968,1929.74638867932
"5","Tjallsoholmen","Timepoint 1",18,27,11,42,0,"Kristineberg",2022-08-17,2022-04-28,619.8,"Kristineberg",8.8,8.31088474433024,18.5146464992697,8.8,56,"Kristineberg",117,292,14.1711949307426,10.6086744232834,2655.77050294353,1954.91133776318
"26","Blabergsholmen","Timepoint 2",25,31,27,24,0,"Kristineberg",2022-08-17,2022-06-07,659.8,"Kristineberg",15.52,14.6071876806666,18.5146464992697,15.52,83,"Kristineberg",157,292,11.975287270712,8.41276676325282,2202.10876724022,1501.24960205986
"27","Katten","Timepoint 2",35,38,23,18,0,"Kristineberg",2022-08-17,2022-06-09,661.8,"Kristineberg",15.86,14.8870174216817,18.5146464992697,15.86,96,"Kristineberg",159,292,11.8273059383949,8.26478543093576,2172.89496974006,1472.0358045597
"28","Pittleholmen","Timepoint 2",30,30,22,21,0,"Kristineberg",2022-08-17,2022-06-06,658.8,"Kristineberg",15.14,14.4646400171366,18.5146464992697,15.14,82,"Kristineberg",156,292,12.0477672048618,8.48524669740267,2216.50143580216,1515.64227062181
"29","Rodberget","Timepoint 2",20,25,12,23,0,"Kristineberg",2022-08-17,2022-06-11,663.8,"Kristineberg",15.71,15.1593986368765,18.5146464992697,15.71,57,"Kristineberg",161,292,11.6752879842216,8.11276747676241,2143.12155570774,1442.26239052738
"30","Tjallsoholmen","Timepoint 2",17,36,26,21,0,"Kristineberg",2022-08-17,2022-06-04,656.8,"Kristineberg",14.56,14.1746085805145,18.5146464992697,14.56,79,"Kristineberg",154,292,12.1897183331418,8.62719782568264,2244.85014191686,1543.99097673651
"51","Blabergsholmen","Timepoint 3",22,16,15,5,0,"Kristineberg",2022-08-17,2022-07-10,692.8,"Kristineberg",15.72,18.0087349640296,18.5146464992697,15.72,53,"Kristineberg",190,292,9.04896919668452,5.48644868922537,1659.58778453495,958.728619354591
"52","Katten","Timepoint 3",33,19,7,7,0,"Kristineberg",2022-08-17,2022-07-16,698.8,"Kristineberg",17.14,18.2918552567301,18.5146464992697,17.14,59,"Kristineberg",196,292,8.42708333178653,4.86456282432738,1550.92158619762,850.062421017262
"53","Pittleholmen","Timepoint 3",21,25,17,17,0,"Kristineberg",2022-08-17,2022-07-12,694.8,"Kristineberg",16.73,18.1157728994439,18.5146464992697,16.73,63,"Kristineberg",192,292,8.84372018692472,5.28119967946557,1623.57135966717,922.712194486814
"54","Rodberget","Timepoint 3",16,28,14,5,0,"Kristineberg",2022-08-17,2022-07-14,696.8,"Kristineberg",17.46,18.2101703879122,18.5146464992697,17.46,58,"Kristineberg",194,292,8.63634737734279,5.07382686988364,1587.34086741397,886.481702233614
"55","Tjallsoholmen","Timepoint 3",47,27,14,8,0,"Kristineberg",2022-08-17,2022-07-13,695.8,"Kristineberg",17.81,18.1645569046158,18.5146464992697,17.81,88,"Kristineberg",193,292,8.74028492975672,5.17776442229757,1605.48129614003,904.62213095967
"11","Badstuholmen","Timepoint 1",21,13,5,29,0,"Arendal",2022-11-24,2022-05-08,530.400000000003,"Arendal",8.97,8.47077570169522,17.3340050278093,8.97,39,"Arendal",127,291,12.4503504439677,8.89033276452587,2394.7894858803,1696.06570245618
"21","Langrumpa","Timepoint 1",65,35,21,27,0,"Arendal",2022-11-24,2022-05-07,529.400000000003,"Arendal",8.59,8.33608930409314,17.3340050278093,8.59,121,"Arendal",126,291,12.4905681251178,8.93055044567602,2403.05867677997,1704.33489335585
"31","St Helena","Timepoint 1",30,11,8,21,0,"Arendal",2022-11-24,2022-05-09,531.400000000003,"Arendal",9.21,8.60647769499141,17.3340050278093,9.21,49,"Arendal",128,291,12.4096104269629,8.84959274752109,2386.38614042567,1687.66235700156
"41","Sven Johnsens","Timepoint 1",12,9,6,36,0,"Arendal",2022-11-24,2022-05-06,528.400000000003,"Arendal",8.77,8.20247611169115,17.3340050278093,8.77,27,"Arendal",125,291,12.5302743742373,8.97025669479548,2411.1948147221,1712.47103129798
"56","Tvillingeholmen","Timepoint 1",20,14,8,33,0,"Arendal",2022-11-24,2022-05-10,532.400000000003,"Arendal",9.39,8.7431367187085,17.3340050278093,9.39,42,"Arendal",129,291,12.3683371440096,8.80831946456774,2377.84759593439,1679.12381251027
"261","Badstuholmen","Timepoint 2",49,42,24,14,0,"Arendal",2022-11-24,2022-06-23,576.400000000003,"Arendal",15.01,14.7204104387748,17.3340050278093,15.01,115,"Arendal",173,291,9.87557541775741,6.31555773831558,1863.77200853375,1165.04822510963
"271","Langrumpa","Timepoint 2",26,27,22,29,0,"Arendal",2022-11-24,2022-06-18,571.400000000003,"Arendal",14.09,14.1305301309817,17.3340050278093,14.09,75,"Arendal",168,291,10.2351630160074,6.67514533656555,1935.32365335756,1236.59986993345
"281","St Helena","Timepoint 2",50,52,28,33,0,"Arendal",2022-11-24,2022-06-16,569.400000000003,"Arendal",14.88,13.8826793101696,17.3340050278093,14.88,130,"Arendal",166,291,10.3731824021987,6.81316472275692,1963.08850337703,1264.36471995291
"291","Sven Johnsens","Timepoint 2",35,29,23,9,0,"Arendal",2022-11-24,2022-06-19,572.400000000003,"Arendal",13.05,14.2520195109985,17.3340050278093,13.05,87,"Arendal",169,291,10.1649043144359,6.60488663499406,1921.25455511712,1222.530771693
"301","Tvillingeholmen","Timepoint 2",66,48,19,8,0,"Arendal",2022-11-24,2022-06-20,573.400000000003,"Arendal",13.6,14.371808030624,17.3340050278093,13.6,133,"Arendal",170,291,10.0938141300382,6.53379645059635,1907.0631409331,1208.33935750898
"511","Badstuholmen","Timepoint 3",21,19,12,26,0,"Arendal",2022-11-24,2022-07-23,606.400000000003,"Arendal",17.5,17.0696456984228,17.3340050278093,17.5,52,"Arendal",203,291,7.3307646451166,3.77074696567478,1383.64696474594,684.923181321826
"521","Langrumpa","Timepoint 3",13,17,3,28,0,"Arendal",2022-11-24,2022-07-21,604.400000000003,"Arendal",17.84,16.9867124315276,17.3340050278093,17.84,33,"Arendal",201,291,7.51679714987942,3.9567794704376,1417.61945248547,718.895669061355
"531","St Helena","Timepoint 3",29,19,3,26,0,"Arendal",2022-11-24,2022-07-19,602.400000000003,"Arendal",16.26,16.8925356351671,17.3340050278093,16.26,51,"Arendal",199,291,7.70115227736442,4.1411345979226,1451.40359366434,752.679810240223
"541","Sven Johnsens","Timepoint 3",43,24,10,13,0,"Arendal",2022-11-24,2022-07-20,603.400000000003,"Arendal",17.08,16.9410248470487,17.3340050278093,17.08,77,"Arendal",200,291,7.60919585814949,4.04917817870767,1434.53646574645,735.812682322332
"551","Tvillingeholmen","Timepoint 3",32,20,12,5,0,"Arendal",2022-11-24,2022-07-22,605.400000000003,"Arendal",17.64,17.0295887028703,17.3340050278093,17.64,64,"Arendal",202,291,7.42397899120583,3.863961311764,1400.65534994732,701.931566523202
"12","Krabbavika","Timepoint 1",19,20,12,47,0,"Austevoll",2022-07-02,2022-05-10,678,"Austevoll",8.22,8.97784429642127,16.133584947594,8.22,51,"Austevoll",129,274,10.3230649882042,8.04046718753032,2031.82863730091,1581.15483719189
"22","Lamoya","Timepoint 1",36,25,23,25,0,"Austevoll",2022-07-02,2022-05-09,677,"Austevoll",8.43,8.87605099389139,16.133584947594,8.43,84,"Austevoll",128,274,10.3654936435822,8.08289584290827,2040.65424377751,1589.98044366849
"32","Saltkjaerholmane","Timepoint 1",10,22,28,35,0,"Austevoll",2022-07-02,2022-05-11,679,"Austevoll",8.17,9.08068365871886,16.133584947594,8.17,60,"Austevoll",130,274,10.2802210896103,7.99762328893642,2022.90177864915,1572.22797854013
"42","Ternholmen","Timepoint 1",37,41,15,25,0,"Austevoll",2022-07-02,2022-05-12,680,"Austevoll",8.09,9.18452468853976,16.133584947594,8.09,93,"Austevoll",131,274,10.2369534401824,7.95435563950845,2013.87260000962,1563.1987999006
"57","Tipatiskaeret","Timepoint 1",33,27,9,35,0,"Austevoll",2022-07-02,2022-05-12,680,"Austevoll",8.09,9.18452468853976,16.133584947594,8.09,69,"Austevoll",131,274,10.2369534401824,7.95435563950845,2013.87260000962,1563.1987999006
"262","Krabbavika","Timepoint 2",37,26,8,31,0,"Austevoll",2022-07-02,2022-06-19,718,"Austevoll",12.46,13.3565852715434,16.133584947594,12.46,71,"Austevoll",169,274,8.20318315412403,5.92058535345012,1589.46597698552,1138.7921768765
"272","Lamoya","Timepoint 2",56,60,13,13,0,"Austevoll",2022-07-02,2022-06-20,719,"Austevoll",13.37,13.4576323813477,16.133584947594,13.37,129,"Austevoll",170,274,8.13789952161995,5.85530172094604,1576.16039800347,1125.48659789446
"282","Saltkjaerholmane","Timepoint 2",35,36,19,27,0,"Austevoll",2022-07-02,2022-06-17,716,"Austevoll",13.55,13.1510862926086,16.133584947594,13.55,90,"Austevoll",167,274,8.331823969236,6.04922616856209,1615.76780180227,1165.09400169325
"292","Ternholmen","Timepoint 2",89,57,24,25,0,"Austevoll",2022-07-02,2022-06-18,717,"Austevoll",12.89,13.2543850370404,16.133584947594,12.89,170,"Austevoll",168,274,8.26782472955509,5.98522692888118,1602.66880190081,1151.9950017918
"302","Tipatiskaeret","Timepoint 2",63,46,9,17,0,"Austevoll",2022-07-02,2022-06-21,720,"Austevoll",13.99,13.5574724052339,16.133584947594,13.99,118,"Austevoll",171,274,8.07197459468382,5.78937679400991,1562.75319082459,1112.07939071558
